DATE,CPIAUCSL_NBD19990101
1998-01-01,97.85393
1999-01-01,100.00000
2000-01-01,103.36668
2001-01-01,106.27814
2002-01-01,107.97399
2003-01-01,110.45523
2004-01-01,113.40170
2005-01-01,117.21861
2006-01-01,120.99550
2007-01-01,124.46873
2008-01-01,129.21716
2009-01-01,128.80320
2010-01-01,130.91116
2011-01-01,135.02131
2012-01-01,137.82056
2013-01-01,139.84097
2014-01-01,142.10005
2015-01-01,142.27219
2016-01-01,144.07529
2017-01-01,147.14617
2018-01-01,150.73472
2019-01-01,153.46463
2020-01-01,155.38064
2021-01-01,162.66058
